id	gene	chrom	chromStart	chromEnd	strand
ENSG00000278757.1	U6	chr1	516376	516479	-
ENSG00000231709.1	RP5-857K21.1	chr1	585989	588453	-
ENSG00000235146.2	RP5-857K21.2	chr1	587629	594768	+
ENSG00000239664.2	RP5-857K21.3	chr1	594453	597498	-
ENSG00000230021.6	RP5-857K21.4	chr1	601436	724707	-
ENSG00000223659.1	RP5-857K21.5	chr1	627377	629010	-
ENSG00000225972.1	MTND1P23	chr1	629062	629433	+
ENSG00000225630.1	MTND2P28	chr1	629640	630683	+
ENSG00000276171.1	AC114498.1	chr1	630896	630958	+
ENSG00000237973.1	RP5-857K21.6	chr1	631074	632616	+
ENSG00000278791.1	MIR6723	chr1	632325	632413	-
ENSG00000229344.1	RP5-857K21.7	chr1	632757	633438	+
ENSG00000240409.1	MTATP8P1	chr1	633535	633741	+
ENSG00000248527.1	MTATP6P1	chr1	633696	634376	+
ENSG00000198744.5	RP5-857K21.11	chr1	634376	634922	+
ENSG00000268663.1	WBP1LP6	chr1	674842	675265	+
ENSG00000273547.1	OR4F16	chr1	685716	686654	-
ENSG00000229376.3	CICP3	chr1	722092	724903	+
ENSG00000224956.5	RP11-206L10.1	chr1	726231	728147	-
ENSG00000235373.1	RP11-206L10.3	chr1	741813	750016	-
ENSG00000223181.1	RNU6-1199P	chr1	758233	758336	-
ENSG00000240618.1	RP11-206L10.5	chr1	759032	764925	-
ENSG00000229905.1	RP11-206L10.4	chr1	760911	761989	+
ENSG00000228327.2	RP11-206L10.2	chr1	764857	778626	-
ENSG00000237491.7	RP11-206L10.9	chr1	778770	810060	+
ENSG00000230092.6	RP11-206L10.8	chr1	800879	817712	-
ENSG00000177757.2	FAM87B	chr1	817371	819837	+
ENSG00000228794.7	LINC01128	chr1	825138	859446	+
ENSG00000225880.5	LINC00115	chr1	826206	827522	-
ENSG00000230368.2	FAM41C	chr1	868071	876903	-
ENSG00000234711.1	TUBB8P11	chr1	873292	874349	+
ENSG00000272438.1	RP11-54O7.16	chr1	904834	915976	+
ENSG00000230699.2	RP11-54O7.1	chr1	911435	914948	+
ENSG00000241180.1	RP11-54O7.2	chr1	914171	914971	+
ENSG00000223764.2	RP11-54O7.3	chr1	916865	921016	-
ENSG00000187634.9	SAMD11	chr1	924880	944581	+
ENSG00000188976.9	NOC2L	chr1	944204	959309	-
ENSG00000187961.12	KLHL17	chr1	960587	965715	+
ENSG00000277294.1	AL645608.1	chr1	965110	965166	+
ENSG00000187583.9	PLEKHN1	chr1	966497	975865	+
ENSG00000187642.8	PERM1	chr1	975204	982093	-
ENSG00000272512.1	RP11-54O7.17	chr1	995966	998051	-
ENSG00000188290.9	HES4	chr1	998962	1000172	-
ENSG00000187608.7	ISG15	chr1	1001138	1014541	+
ENSG00000231702.2	RP11-54O7.10	chr1	1008076	1008229	-
ENSG00000224969.1	RP11-54O7.11	chr1	1011997	1013193	-
ENSG00000188157.12	AGRN	chr1	1020123	1056118	+
ENSG00000242590.1	RP11-54O7.14	chr1	1055033	1056116	+
ENSG00000217801.8	RP11-465B22.3	chr1	1059734	1069355	+
ENSG00000273443.1	RP11-54O7.18	chr1	1062208	1063288	-
ENSG00000237330.2	RNF223	chr1	1070966	1074307	-
ENSG00000131591.16	C1orf159	chr1	1081818	1116361	-
ENSG00000223823.1	LINC01342	chr1	1137017	1144056	+
ENSG00000207730.2	MIR200B	chr1	1167092	1167202	+
ENSG00000207607.2	MIR200A	chr1	1167846	1167956	+
ENSG00000198976.1	MIR429	chr1	1169005	1169087	+
ENSG00000272141.1	RP11-465B22.8	chr1	1169357	1170343	+
ENSG00000205231.1	TTLL10-AS1	chr1	1173056	1179555	-
ENSG00000162571.12	TTLL10	chr1	1173884	1197935	+
ENSG00000186891.12	TNFRSF18	chr1	1203508	1206691	-
ENSG00000186827.9	TNFRSF4	chr1	1211326	1214138	-
ENSG00000078808.15	SDF4	chr1	1216908	1232031	-
ENSG00000176022.4	B3GALT6	chr1	1232265	1235041	+
ENSG00000184163.3	FAM132A	chr1	1242446	1246722	-
ENSG00000260179.1	RP5-902P8.12	chr1	1249777	1251334	-
ENSG00000160087.19	UBE2J2	chr1	1253909	1273885	-
ENSG00000230415.1	RP5-902P8.10	chr1	1275223	1280420	+
ENSG00000162572.18	SCNN1D	chr1	1280436	1292029	+
ENSG00000131584.17	ACAP3	chr1	1292376	1309609	-
ENSG00000278073.1	MIR6726	chr1	1296110	1296170	-
ENSG00000169972.10	PUSL1	chr1	1308567	1311677	+
ENSG00000127054.17	CPSF3L	chr1	1311585	1324691	-
ENSG00000274153.1	MIR6727	chr1	1312502	1312566	-
ENSG00000240731.1	RP5-890O3.9	chr1	1317581	1318689	-
ENSG00000224051.5	CPTP	chr1	1324756	1328897	+
ENSG00000169962.4	TAS1R3	chr1	1331314	1335306	+
ENSG00000107404.16	DVL1	chr1	1335276	1349350	-
ENSG00000275884.1	MIR6808	chr1	1339650	1339708	-
ENSG00000162576.15	MXRA8	chr1	1352689	1361777	-
ENSG00000175756.12	AURKAIP1	chr1	1373730	1375495	-
ENSG00000223663.2	RP5-890O3.3	chr1	1378666	1379032	+
ENSG00000221978.10	CCNL2	chr1	1385711	1399328	-
ENSG00000224870.5	RP4-758J18.2	chr1	1399522	1402046	+
ENSG00000242485.4	MRPL20	chr1	1401908	1407313	-
ENSG00000264293.2	RN7SL657P	chr1	1405460	1405752	-
ENSG00000272455.1	RP4-758J18.13	chr1	1409096	1410618	+
ENSG00000235098.7	ANKRD65	chr1	1418420	1421769	-
ENSG00000225905.1	RP4-758J18.7	chr1	1420245	1422691	+
ENSG00000205116.3	TMEM88B	chr1	1426128	1427787	+
ENSG00000225285.1	RP4-758J18.10	chr1	1430539	1434573	-
ENSG00000179403.11	VWA1	chr1	1434861	1442882	+
ENSG00000215915.8	ATAD3C	chr1	1449689	1470158	+
ENSG00000160072.18	ATAD3B	chr1	1471769	1497848	+
ENSG00000197785.12	ATAD3A	chr1	1512151	1534687	+
ENSG00000205090.7	TMEM240	chr1	1535174	1540453	-
ENSG00000160075.11	SSU72	chr1	1541673	1574869	-
ENSG00000215014.4	RP5-832C2.5	chr1	1574975	1577075	+
ENSG00000279244.1	AL645728.1	chr1	1579756	1580046	+
ENSG00000274481.1	RP11-345P4.11	chr1	1583510	1583909	-
ENSG00000280747.1	Metazoa_SRP	chr1	1589065	1589350	-
ENSG00000228594.3	C1orf233	chr1	1598012	1600096	-
ENSG00000272106.1	RP11-345P4.9	chr1	1613758	1615795	-
ENSG00000197530.11	MIB2	chr1	1615415	1630610	+
ENSG00000189409.11	MMP23B	chr1	1632095	1701810	+
ENSG00000248333.6	CDK11B	chr1	1635227	1722818	-
ENSG00000272004.1	RP11-345P4.10	chr1	1659325	1662602	+
ENSG00000189339.10	SLC35E2B	chr1	1659529	1692728	-
ENSG00000269737.1	RP11-345P4.7	chr1	1671990	1673411	+
ENSG00000269227.1	RP11-345P4.6	chr1	1673275	1674397	+
ENSG00000215914.4	MMP23A	chr1	1699942	1701782	+
ENSG00000008128.21	CDK11A	chr1	1702730	1724324	-
ENSG00000268575.1	RP1-283E3.8	chr1	1702736	1737688	-
ENSG00000227775.3	RP1-283E3.4	chr1	1724512	1737251	+
ENSG00000215790.5	SLC35E2	chr1	1724838	1745992	-
ENSG00000008130.14	NADK	chr1	1751232	1780457	-
ENSG00000078369.16	GNB1	chr1	1785285	1891117	-
ENSG00000231050.1	RP1-140A9.1	chr1	1891471	1892658	+
ENSG00000169885.8	CALML6	chr1	1914827	1917296	+
ENSG00000178821.11	TMEM52	chr1	1917590	1919273	-
ENSG00000142609.16	CFAP74	chr1	1921951	2003837	-
ENSG00000233542.1	RP11-547D24.1	chr1	2013213	2015530	-
ENSG00000187730.7	GABRD	chr1	2019324	2030751	+
ENSG00000226969.1	RP11-547D24.3	chr1	2049203	2050070	-
ENSG00000067606.14	PRKCZ	chr1	2050470	2185395	+
ENSG00000271806.1	RP5-892K4.1	chr1	2141084	2145279	-
ENSG00000182873.5	RP11-181G12.2	chr1	2181794	2184389	-
ENSG00000162585.15	C1orf86	chr1	2184461	2212720	-
ENSG00000234396.3	RP11-181G12.4	chr1	2212523	2220738	+
ENSG00000277082.1	AL590822.1	chr1	2222427	2222500	-
ENSG00000157933.9	SKI	chr1	2228695	2310119	+
ENSG00000116151.12	MORN1	chr1	2321253	2391707	-
ENSG00000272161.1	RP4-713A8.1	chr1	2326201	2326693	-
ENSG00000269896.2	RP4-740C4.5	chr1	2350414	2352820	-
ENSG00000272420.1	RP4-740C4.7	chr1	2363061	2363628	-
ENSG00000157916.17	RER1	chr1	2391775	2405444	+
ENSG00000157911.8	PEX10	chr1	2403964	2413797	-
ENSG00000149527.16	PLCH2	chr1	2425980	2505530	+
ENSG00000224387.1	RP3-395M20.2	chr1	2492300	2493258	-
ENSG00000229393.1	RP3-395M20.3	chr1	2493437	2494479	-
ENSG00000157881.12	PANK4	chr1	2508533	2526600	-
ENSG00000197921.5	HES5	chr1	2528745	2530245	-
ENSG00000272449.1	RP3-395M20.12	chr1	2546465	2547460	+
ENSG00000238164.5	RP3-395M20.8	chr1	2549920	2557031	-
ENSG00000157873.16	TNFRSF14	chr1	2555639	2565382	+
ENSG00000225931.3	RP3-395M20.7	chr1	2566410	2569888	+
ENSG00000228037.1	RP3-395M20.9	chr1	2581560	2584533	+
ENSG00000157870.13	FAM213B	chr1	2586491	2591469	+
ENSG00000142606.14	MMEL1	chr1	2590639	2632990	-
ENSG00000237058.1	RP13-436F16.1	chr1	2632568	2636620	+
ENSG00000215912.10	TTC34	chr1	2635976	2801721	-
ENSG00000233234.1	RP11-740P5.2	chr1	2811850	2812692	-
ENSG00000231630.1	RP11-740P5.3	chr1	2814432	2814998	-
ENSG00000169717.6	ACTRT2	chr1	3021483	3022903	+
ENSG00000177133.9	LINC00982	chr1	3059615	3068437	-
ENSG00000142611.15	PRDM16	chr1	3069168	3438621	+
ENSG00000226286.1	RP1-163G9.2	chr1	3132927	3133709	-
ENSG00000279839.1	RP11-193J6.1	chr1	3205988	3208664	+
ENSG00000272235.1	RP11-22L13.1	chr1	3306636	3310096	-
ENSG00000130762.13	ARHGEF16	chr1	3454426	3481113	+
ENSG00000272088.1	RP11-168F9.2	chr1	3487246	3487627	+
ENSG00000162591.14	MEGF6	chr1	3489920	3611495	-
ENSG00000207776.1	MIR551A	chr1	3560695	3560790	-
ENSG00000238260.1	RP11-46F15.2	chr1	3623190	3624743	-
ENSG00000158109.13	TPRG1L	chr1	3625002	3630127	+
ENSG00000116213.14	WRAP73	chr1	3630767	3652761	-
ENSG00000078900.13	TP73	chr1	3652520	3736201	+
ENSG00000227589.1	RP5-1092A11.5	chr1	3658938	3668772	-
ENSG00000235131.1	RP5-1092A11.2	chr1	3712200	3714298	-
ENSG00000227372.9	TP73-AS1	chr1	3735601	3747336	-
ENSG00000276189.1	TP73-AS1	chr1	3736943	3737103	+
ENSG00000162592.7	CCDC27	chr1	3752398	3771645	+
ENSG00000235169.6	SMIM1	chr1	3772788	3775982	+
ENSG00000130764.8	LRRC47	chr1	3778558	3796504	-
ENSG00000266075.2	RN7SL574P	chr1	3782815	3783111	+
ENSG00000272153.1	RP1-286D6.5	chr1	3785008	3785538	+
ENSG00000116198.11	CEP104	chr1	3812081	3857214	-
ENSG00000169598.14	DFFB	chr1	3857267	3885429	+
ENSG00000198912.9	C1orf174	chr1	3889125	3900293	-
ENSG00000236423.4	LINC01134	chr1	3900372	3917225	+
ENSG00000233304.4	LINC01346	chr1	3940613	3955262	+
ENSG00000226374.1	RP13-614K11.2	chr1	3947149	3948980	-
ENSG00000229280.1	EEF1DP6	chr1	4175528	4175899	-
ENSG00000235054.1	RP5-1166F10.1	chr1	4412051	4424687	+
ENSG00000227169.2	RP1-37J18.1	chr1	4551735	4552145	-
ENSG00000232596.1	RP1-37J18.2	chr1	4571548	4583421	+
ENSG00000196581.9	AJAP1	chr1	4654732	4792534	+
ENSG00000277731.1	AL137795.1	chr1	4892068	4892162	-
ENSG00000231510.1	RP11-542C10.1	chr1	5086459	5090899	-
ENSG00000260972.1	RP1-58B11.1	chr1	5492978	5494674	+
ENSG00000264341.1	MIR4417	chr1	5564071	5564143	+
ENSG00000236948.1	RP11-154H17.1	chr1	5587368	5668295	-
ENSG00000216045.2	AL356693.1	chr1	5815871	5815959	-
ENSG00000264101.1	MIR4689	chr1	5862672	5862741	-
ENSG00000131697.16	NPHP4	chr1	5862811	5992473	-
ENSG00000266687.1	AL356261.1	chr1	5893839	5893924	-
ENSG00000069424.13	KCNAB2	chr1	5991466	6101193	+
ENSG00000116254.16	CHD5	chr1	6101793	6180123	-
ENSG00000116251.8	RPL22	chr1	6181269	6209389	-
ENSG00000226944.1	RP1-120G22.11	chr1	6204840	6205780	-
ENSG00000158286.11	RNF207	chr1	6205475	6221299	+
ENSG00000116237.14	ICMT	chr1	6221193	6235972	-
ENSG00000225077.2	LINC00337	chr1	6236240	6239444	+
ENSG00000173673.7	HES3	chr1	6244192	6245578	+
ENSG00000158292.6	GPR153	chr1	6247346	6260975	-
ENSG00000097021.18	ACOT7	chr1	6264269	6394391	-
ENSG00000271746.1	RP1-202O8.3	chr1	6393555	6394391	+
ENSG00000069812.10	HES2	chr1	6412418	6424670	-
ENSG00000187017.13	ESPN	chr1	6424788	6461370	+
ENSG00000265392.1	MIR4252	chr1	6429834	6429896	-
ENSG00000231868.1	RP1-202O8.2	chr1	6443034	6447006	-
ENSG00000215788.8	TNFRSF25	chr1	6461151	6466195	-
ENSG00000171680.19	PLEKHG5	chr1	6466092	6520061	-
ENSG00000162408.10	NOL9	chr1	6521347	6554535	-
ENSG00000253022.1	RNU6-731P	chr1	6540854	6540964	+
ENSG00000229519.2	RP11-58A11.2	chr1	6547905	6548619	+
ENSG00000173662.18	TAS1R1	chr1	6555181	6579757	+
ENSG00000204859.10	ZBTB48	chr1	6580001	6589280	+
ENSG00000162413.15	KLHL21	chr1	6590724	6614607	-
ENSG00000116273.5	PHF13	chr1	6613685	6624033	+
ENSG00000041988.14	THAP3	chr1	6624866	6635586	+
ENSG00000007923.14	DNAJC11	chr1	6634168	6701924	-
ENSG00000228750.4	RP11-242F24.1	chr1	6724637	6730012	+
ENSG00000237436.1	RP11-312B8.1	chr1	6783892	6784843	-
ENSG00000171735.17	CAMTA1	chr1	6785324	7769706	+
ENSG00000227950.1	RP11-312B8.2	chr1	6834333	6834618	-
ENSG00000237365.1	RP11-334N17.1	chr1	7008376	7014279	-
ENSG00000207056.1	RNU1-8P	chr1	7219360	7219524	+
ENSG00000280801.1	Z98052.1	chr1	7264193	7264277	+
ENSG00000237402.1	CAMTA1-IT1	chr1	7368942	7370270	+
ENSG00000237728.2	RP3-453P22.2	chr1	7382487	7389754	-
ENSG00000225126.1	RP4-549F15.1	chr1	7441096	7441554	-
ENSG00000270171.1	RP11-338N10.1	chr1	7693124	7694844	-
ENSG00000270035.1	RP11-338N10.2	chr1	7698303	7698872	-
ENSG00000269978.1	RP11-338N10.3	chr1	7700704	7700970	-
ENSG00000049245.11	VAMP3	chr1	7771269	7781432	+
ENSG00000269925.1	RP3-467L1.6	chr1	7776383	7776775	+
ENSG00000049246.13	PER3	chr1	7784320	7845177	+
ENSG00000236266.1	RP3-467L1.4	chr1	7810242	7827342	-
ENSG00000049247.12	UTS2	chr1	7843083	7853512	-
ENSG00000049249.7	TNFRSF9	chr1	7915894	7943165	-
ENSG00000270330.1	RP5-892F13.2	chr1	7942372	7942726	+
ENSG00000116288.11	PARK7	chr1	7954291	7985505	+
ENSG00000200344.1	Y_RNA	chr1	7982881	7982983	-
ENSG00000116285.11	ERRFI1	chr1	8004404	8026308	-
ENSG00000238290.1	RP11-431K24.1	chr1	8026738	8122702	+
ENSG00000232848.1	CTA-215D11.4	chr1	8057245	8058463	-
ENSG00000229305.1	RP11-431K24.2	chr1	8189824	8192770	+
ENSG00000200975.1	RNU1-7P	chr1	8206434	8206597	-
ENSG00000227634.1	RP11-431K24.3	chr1	8208672	8215210	+
ENSG00000233645.1	RP11-431K24.4	chr1	8218190	8220529	-
ENSG00000251977.1	RNU6-991P	chr1	8292157	8292263	-
ENSG00000162426.13	SLC45A1	chr1	8317826	8344167	+
ENSG00000252254.1	Y_RNA	chr1	8328067	8328179	+
ENSG00000142599.16	RERE	chr1	8352397	8817643	-
ENSG00000232912.4	RP5-1115A15.1	chr1	8424645	8434838	+
ENSG00000221083.1	SNORA77	chr1	8511795	8511919	-
ENSG00000270282.1	RP5-1115A15.2	chr1	8512653	8513021	+
ENSG00000280851.1	AL096855.1	chr1	8512985	8513065	-
ENSG00000234619.1	RPL7P11	chr1	8750430	8751087	+
ENSG00000224315.2	RPL7P7	chr1	8786211	8786913	-
ENSG00000222511.2	Y_RNA	chr1	8796571	8796673	-
ENSG00000226545.1	RP4-633I8.3	chr1	8798475	8799506	+
ENSG00000228423.2	RP4-633I8.4	chr1	8805860	8807051	-
ENSG00000229716.2	RP11-185B14.1	chr1	8831007	8831375	+
ENSG00000074800.12	ENO1	chr1	8861002	8879249	-
ENSG00000280816.1	Metazoa_SRP	chr1	8862002	8862260	+
ENSG00000274258.1	MIR6728	chr1	8866502	8866590	-
ENSG00000236269.1	ENO1-IT1	chr1	8875788	8878007	-
ENSG00000230679.1	ENO1-AS1	chr1	8878835	8879894	+
ENSG00000201725.1	RNU6-304P	chr1	8883427	8883533	-
ENSG00000238249.2	HMGN2P17	chr1	8893409	8894151	+
ENSG00000232208.2	RP3-477M7.5	chr1	8907393	8907744	-
ENSG00000232663.2	RP3-477M7.6	chr1	8909742	8909904	+
ENSG00000131686.13	CA6	chr1	8945867	8975092	+
ENSG00000265141.2	RN7SL451P	chr1	8979576	8979874	-
ENSG00000197241.3	SLC2A7	chr1	9003300	9026345	-
ENSG00000142583.16	SLC2A5	chr1	9035107	9088478	-
ENSG00000252404.1	SCARNA16	chr1	9082696	9082879	+
ENSG00000281506.1	AL158048.1	chr1	9082803	9082880	+
ENSG00000180758.11	GPR157	chr1	9100305	9129170	-
ENSG00000207865.1	MIR34A	chr1	9151668	9151777	-
ENSG00000228526.2	RP3-510D11.1	chr1	9182007	9202619	-
ENSG00000234546.2	RP3-510D11.2	chr1	9182204	9192089	+
ENSG00000049239.11	H6PD	chr1	9234775	9271337	+
ENSG00000171621.12	SPSB1	chr1	9292880	9369532	+
ENSG00000252956.1	RNA5SP40	chr1	9437669	9437778	-
ENSG00000235263.1	RP13-392I16.1	chr1	9501092	9503471	-
ENSG00000171612.6	SLC25A33	chr1	9539482	9585179	+
ENSG00000231181.1	RP13-15M17.1	chr1	9576427	9576985	+
ENSG00000188807.11	TMEM201	chr1	9588922	9614873	+
ENSG00000171608.14	PIK3CD	chr1	9651732	9729114	+
ENSG00000179840.5	PIK3CD-AS1	chr1	9652610	9654586	-
ENSG00000233268.3	RP11-558F24.2	chr1	9660828	9662626	-
ENSG00000231789.2	PIK3CD-AS2	chr1	9672426	9687555	-
ENSG00000171603.15	CLSTN1	chr1	9729026	9824526	-
ENSG00000271264.1	MZT1P1	chr1	9780822	9781240	+
ENSG00000280113.1	AL357140.1	chr1	9827610	9828258	-
ENSG00000178585.13	CTNNBIP1	chr1	9848276	9910336	-
ENSG00000223989.1	RP11-84A14.5	chr1	9848318	9850154	+
ENSG00000162441.10	LZIC	chr1	9922113	9943407	-
ENSG00000228150.1	RP11-84A14.4	chr1	9942923	9949974	+
ENSG00000173614.12	NMNAT1	chr1	9943428	9985501	+
ENSG00000202415.1	RN7SKP269	chr1	9947318	9947636	+
ENSG00000265521.1	MIR5697	chr1	9967381	9967458	+
ENSG00000241326.1	RP11-807G9.2	chr1	9983141	9984568	+
ENSG00000162444.11	RBP7	chr1	9997206	10016020	+
ENSG00000130939.17	UBE4B	chr1	10032832	10181239	+
ENSG00000224340.1	RP11-496H15.2	chr1	10054445	10054781	-
ENSG00000233623.2	PGAM1P11	chr1	10058671	10059648	+
ENSG00000201746.1	RNU6-828P	chr1	10163268	10163374	+
ENSG00000054523.15	KIF1B	chr1	10210805	10381603	+
ENSG00000264881.1	MIR1273D	chr1	10227718	10227803	+
ENSG00000199562.1	RNU6-37P	chr1	10298966	10299072	+
ENSG00000264501.2	RN7SL731P	chr1	10306465	10306757	+
ENSG00000142657.19	PGD	chr1	10398592	10420144	+
ENSG00000271989.1	RP4-736L20.3	chr1	10429881	10430677	-
ENSG00000251503.6	APITD1-CORT	chr1	10430102	10452153	+
ENSG00000175279.20	APITD1	chr1	10430443	10442809	+
ENSG00000241563.3	CORT	chr1	10449719	10451902	+
ENSG00000160049.10	DFFA	chr1	10456522	10472526	-
ENSG00000203469.2	RP5-1113E3.3	chr1	10458555	10459338	+
ENSG00000142655.11	PEX14	chr1	10472288	10630758	+
ENSG00000243267.3	RN7SL614P	chr1	10616836	10617115	+
ENSG00000130940.13	CASZ1	chr1	10636604	10796650	-
ENSG00000272078.1	RP4-734G22.3	chr1	10639241	10654333	+
ENSG00000225158.2	HSPE1P24	chr1	10895761	10895998	+
ENSG00000175262.13	C1orf127	chr1	10946471	10982037	-
ENSG00000215785.2	CFL1P6	chr1	10990978	10991797	-
ENSG00000264181.1	AL713997.1	chr1	10998176	10998263	-
ENSG00000281322.1	Y_RNA	chr1	10999862	10999945	-
ENSG00000120948.14	TARDBP	chr1	11012344	11026420	+
ENSG00000277726.3	TARDBP	chr1	11012662	11030528	+
ENSG00000009724.15	MASP2	chr1	11026523	11047233	-
ENSG00000271895.2	RP4-635E18.8	chr1	11029659	11030528	+
ENSG00000116649.8	SRM	chr1	11054584	11060024	-
ENSG00000171824.12	EXOSC10	chr1	11066618	11099881	-
ENSG00000226849.1	RP4-635E18.7	chr1	11068471	11073097	+
ENSG00000281350.1	Metazoa_SRP	chr1	11070091	11070353	+
ENSG00000230337.1	RP4-635E18.6	chr1	11099675	11102100	+
ENSG00000198793.11	MTOR	chr1	11106535	11262507	-
ENSG00000225602.4	MTOR-AS1	chr1	11143898	11149537	+
ENSG00000253086.1	RNU6-537P	chr1	11152350	11152452	+
ENSG00000171819.4	ANGPTL7	chr1	11189341	11195981	+
ENSG00000207451.1	RNU6-291P	chr1	11226254	11226360	+
ENSG00000238173.1	RPL39P6	chr1	11232963	11233112	+
ENSG00000120942.12	UBIAD1	chr1	11273206	11296049	+
ENSG00000238199.1	UBE2V2P3	chr1	11278616	11279351	-
ENSG00000224338.2	RP11-149P14.1	chr1	11425257	11425821	-
ENSG00000204624.7	PTCHD2	chr1	11479166	11537584	+
ENSG00000235643.1	RP1-69M21.2	chr1	11609531	11613355	+
ENSG00000116661.9	FBXO2	chr1	11648367	11655785	-
ENSG00000132879.12	FBXO44	chr1	11654375	11663327	+
ENSG00000116663.9	FBXO6	chr1	11664124	11674354	+
ENSG00000116670.13	MAD2L2	chr1	11674480	11691650	-
ENSG00000162490.6	DRAXIN	chr1	11691729	11725857	+
ENSG00000177674.14	AGTRAP	chr1	11736084	11754802	+
ENSG00000215910.6	C1orf167	chr1	11761787	11789585	+
ENSG00000177553.6	RP11-56N19.5	chr1	11777077	11779619	-
ENSG00000177000.9	MTHFR	chr1	11785723	11806920	-
ENSG00000011021.20	CLCN6	chr1	11806096	11843144	+
ENSG00000242349.4	NPPA-AS1	chr1	11841017	11848079	+
ENSG00000276470.1	NPPA-AS1_1	chr1	11843812	11843984	+
ENSG00000278852.1	NPPA-AS1_2	chr1	11845549	11845697	+
ENSG00000175206.9	NPPA	chr1	11845709	11848345	-
ENSG00000275915.1	NPPA-AS1_3	chr1	11847442	11847549	+
ENSG00000120937.8	NPPB	chr1	11857464	11858931	-
ENSG00000224904.1	RP5-934G17.6	chr1	11877770	11880406	+
ENSG00000199347.1	RNU5E-1	chr1	11908152	11908271	+
ENSG00000201801.1	RNU5E-4P	chr1	11909808	11909927	-
ENSG00000116685.14	KIAA2013	chr1	11919591	11926428	-
ENSG00000083444.15	PLOD1	chr1	11934205	11975538	+
ENSG00000116688.15	MFN2	chr1	11980181	12013514	+
ENSG00000270914.1	RP5-1077B9.5	chr1	12017216	12017308	-
ENSG00000116691.9	MIIP	chr1	12019466	12032045	+
ENSG00000202461.1	Y_RNA	chr1	12024012	12024124	-
ENSG00000276869.1	MIR6729	chr1	12029158	12029222	+
ENSG00000243539.3	RN7SL649P	chr1	12036740	12037014	-
ENSG00000120949.13	TNFRSF8	chr1	12063377	12144207	+
ENSG00000281342.1	Metazoa_SRP	chr1	12065002	12065246	-
ENSG00000201135.1	RNU6-777P	chr1	12077881	12077984	-
ENSG00000227875.2	RP11-426M1.2	chr1	12080293	12080547	-
ENSG00000275459.1	MIR7846	chr1	12166943	12167038	+
ENSG00000028137.15	TNFRSF1B	chr1	12167003	12209228	+
ENSG00000263676.1	MIR4632	chr1	12191713	12191773	+
ENSG00000225196.2	RP5-1118D24.2	chr1	12220794	12221109	-
ENSG00000252969.1	SNORA70	chr1	12221148	12221271	-
ENSG00000048707.12	VPS13D	chr1	12230067	12512047	+
ENSG00000280999.1	AC243836.1	chr1	12481829	12481928	+
ENSG00000239149.1	SNORA59A	chr1	12507246	12507397	+
ENSG00000229484.1	RP5-888M10.2	chr1	12527724	12528420	+
ENSG00000162496.7	DHRS3	chr1	12567910	12617731	-
ENSG00000221340.1	RNU6ATAC18P	chr1	12569972	12570072	-
ENSG00000276830.1	MIR6730	chr1	12578957	12579023	-
ENSG00000272482.1	RP11-474O21.5	chr1	12618900	12619244	-
ENSG00000204518.2	AADACL4	chr1	12644547	12667086	+
ENSG00000226166.2	RP11-474O21.2	chr1	12692909	12693020	+
ENSG00000188984.10	AADACL3	chr1	12716115	12728759	+
